INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,SHMI_VALUE,SHMI_BANDING,SPELLS,OBSERVED,EXPECTED,PO_LL,PO_UL,OD_LL,OD_UL
I00699,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,1.1451,2,71275,3370,2940,0.944,1.0583,0.8524,1.1731
I00699,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,1.2534,1,58270,2520,2010,0.9325,1.0708,0.8508,1.1753
I00699,RDE,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,1.1341,2,114500,4170,3675,0.9498,1.052,0.8531,1.1721
I00699,RXC,EAST SUSSEX HEALTHCARE NHS TRUST,1.0709,2,56330,2610,2440,0.9386,1.0642,0.8517,1.1741
I00699,RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,1.148,2,41250,1695,1480,0.9215,1.083,0.849,1.1778
I00699,RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,1.035,2,89345,3510,3390,0.9478,1.0542,0.8529,1.1725
I00699,RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,1.0781,2,27845,1410,1305,0.9167,1.0885,0.8482,1.179
I00699,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,1.1173,2,36230,1300,1165,0.9119,1.0939,0.8472,1.1803
I00699,RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,0.9017,2,119930,2735,3035,0.9448,1.0574,0.8525,1.173
I00699,RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,0.9991,2,64400,1905,1910,0.9308,1.0728,0.8506,1.1757
I00699,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,0.9584,2,89675,1635,1705,0.9269,1.0771,0.8499,1.1766
I00699,RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,0.8772,2,75030,2285,2605,0.9405,1.0621,0.852,1.1737
I00699,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,0.982,2,26320,960,980,0.9042,1.1027,0.8457,1.1825
I00699,RQX,HOMERTON HEALTHCARE NHS FOUNDATION TRUST,0.7717,3,50285,570,740,0.8903,1.1188,0.8425,1.1869
I00699,RWA,HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,1.0242,2,95355,3495,3415,0.9479,1.054,0.8529,1.1724
I00699,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,0.7137,3,116705,2095,2935,0.9439,1.0584,0.8524,1.1731
I00699,R1F,ISLE OF WIGHT NHS TRUST,0.8934,2,23785,880,985,0.9043,1.1026,0.8457,1.1825
